light-firebrand-137,breezy-donkey-135,serene-dawn-133,dainty-shape-131,gentle-morning-129,flowing-plant-127,fresh-universe-125,magic-sun-123,snowy-butterfly-122,restful-energy-121
3,0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,3,0,0
0,4,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
0,3,0,3,0,0,7,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,0
0,0,7,0,0,0,5,0,0,0
0,0,0,16,0,0,0,0,0,0
0,0,0,6,0,0,0,0,10,0
0,0,3,0,0,0,0,0,0,1
0,13,0,0,0,0,0,7,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,1,0
8,0,0,0,0,0,0,7,0,0
4,0,0,0,0,0,0,0,1,0
12,0,0,0,0,0,0,0,0,0
0,1,0,6,1,0,0,0,0,0
3,5,10,0,0,2,8,0,0,0
1,21,0,20,0,0,16,0,0,3
0,0,8,9,0,0,1,0,11,0
27,0,0,0,0,0,17,0,0,11
0,0,10,0,6,0,3,0,3,0
5,11,10,8,0,0,10,0,0,0
7,0,0,7,0,0,1,0,0,0
3,4,0,11,0,0,2,0,0,0
7,0,5,7,0,0,0,5,0,0
12,10,7,16,0,0,8,0,0,0
7,2,0,13,0,0,6,13,0,0
2,1,3,15,0,0,0,0,1,0
11,2,4,3,0,0,11,0,3,0
13,13,0,16,1,0,1,13,1,0
0,11,0,21,0,6,1,0,4,10
12,19,16,17,8,0,0,8,0,9
0,0,6,8,5,0,0,4,0,4
3,13,9,13,2,0,6,9,0,8
12,0,6,0,0,0,7,1,4,5
5,4,0,19,4,0,13,0,18,8
15,31,2,23,9,0,9,0,17,2
8,0,2,10,2,0,19,1,18,8
8,7,11,8,8,0,9,6,0,4
8,0,11,0,7,0,0,0,8,6
18,1,10,18,0,0,14,5,0,3
17,10,12,22,0,5,16,9,9,4
17,16,0,17,3,4,3,2,16,5
18,12,7,7,9,0,3,0,20,5
12,0,1,0,13,5,7,8,25,3
17,0,8,20,11,0,17,14,0,8
28,28,14,14,12,0,18,0,21,0
26,5,1,15,11,7,9,3,19,14
21,17,0,7,10,0,32,0,20,4
9,8,12,11,18,17,10,5,9,15
0,7,0,9,21,10,10,16,23,5
36,32,0,16,25,6,18,13,0,0
0,0,18,18,8,11,27,10,13,4
24,20,0,11,11,6,16,0,14,4
0,0,0,8,19,10,10,3,6,0
31,8,0,2,22,11,17,12,15,0
18,23,0,19,22,24,27,8,13,0
24,29,0,1,15,9,33,16,19,4
33,16,0,22,0,0,11,4,0,5
35,8,0,15,8,0,25,0,16,21
26,18,0,21,24,6,21,25,0,3
0,12,0,17,19,10,0,0,20,4
26,18,0,14,26,8,32,0,22,7
30,33,0,15,31,4,0,0,2,7
31,34,7,18,19,16,30,14,0,3
40,25,11,37,30,10,0,20,31,3
20,0,14,22,13,7,27,0,23,4
22,14,16,22,23,14,0,0,25,4
32,11,0,23,33,9,0,13,0,5
32,39,0,18,34,10,24,15,25,3
47,29,6,0,18,9,22,16,25,4
22,32,0,21,32,13,0,0,0,7
43,22,0,19,12,11,0,0,21,5
40,30,0,44,40,9,24,0,19,6
42,0,0,5,40,9,0,18,19,3
34,27,0,0,29,7,27,0,0,4
23,22,0,41,24,18,24,0,0,4
45,13,0,18,48,10,31,0,20,2
