hopeful-surf-142,gallant-river-141,dauntless-voice-140,robust-hill-139,devout-breeze-136,peach-shadow-134,neat-firefly-130,kind-sound-128,glowing-monkey-126,misty-moon-124
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,1,0
5,2,0,0,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,2,0,0,0,1
5,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,7,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,15,0,0,0,0,0,0
0,0,0,0,0,0,4,0,1,0
0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0
0,0,10,0,0,0,0,0,0,15
0,0,16,14,5,0,0,0,0,0
0,28,0,0,0,0,11,0,0,0
0,0,0,0,0,6,0,0,0,0
0,0,0,6,0,0,0,0,2,0
2,0,0,0,4,0,0,0,0,2
0,5,0,8,11,1,0,0,2,0
3,0,0,0,2,0,0,0,0,0
0,5,0,17,15,0,0,0,0,20
0,0,0,0,1,0,0,0,0,0
3,0,0,0,11,0,25,1,4,0
0,0,0,14,0,0,6,0,0,0
0,0,0,7,0,0,4,0,0,5
0,0,0,0,0,0,0,0,12,27
0,0,0,14,16,0,0,0,3,3
5,0,0,0,20,0,2,0,1,0
0,0,0,0,15,1,5,0,25,6
0,0,0,12,8,0,3,0,8,22
0,0,0,0,14,0,2,0,21,0
0,0,4,23,0,0,8,0,10,22
0,12,0,0,6,0,0,0,0,16
9,0,0,7,11,4,0,0,11,2
0,0,0,0,0,20,23,0,0,8
16,0,1,6,23,0,13,0,13,0
12,0,2,0,12,3,0,0,6,0
7,0,0,0,5,8,0,3,0,0
0,0,4,0,11,0,17,0,22,2
7,0,0,24,19,0,0,0,0,13
3,0,0,0,20,0,0,0,0,23
0,15,0,0,28,0,0,0,4,0
15,0,0,10,23,16,16,0,32,20
0,11,0,0,44,0,0,0,16,0
0,0,0,0,1,4,9,0,28,9
0,0,0,2,16,0,1,7,0,12
19,0,0,0,38,0,6,0,0,32
5,0,0,0,0,0,22,0,5,9
10,0,25,0,40,0,0,0,20,12
0,0,0,28,15,0,17,0,14,0
0,0,0,0,0,0,8,0,36,7
9,0,28,15,14,3,31,1,0,4
0,0,0,18,27,0,0,0,0,10
19,0,0,8,16,0,26,0,14,32
0,0,0,0,47,0,38,0,26,18
0,0,0,17,33,5,32,0,17,30
0,9,0,0,39,3,27,0,0,15
9,0,0,0,23,6,0,7,44,7
9,0,0,11,20,0,0,5,0,28
13,0,0,30,49,0,28,0,17,32
0,0,0,26,26,0,14,0,0,42
0,0,0,0,29,0,53,0,0,21
