rogue-federation-81,light-rancor-80,carbonite-jawa-79,holographic-emperor-78,galactic-wookie-77,star-bantha-76,scruffy-looking-tie-fighter-74,star-destroyer-72,jedi-tauntaun-70,old-jawa-66
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,6,0,0,0
0,0,0,0,9,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,7,0,0,0,0,0,0
0,0,0,0,0,0,0,8,0,0
16,12,0,0,14,0,0,0,0,0
0,0,0,0,0,4,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,3
9,0,1,0,9,0,0,0,0,0
0,0,0,2,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8
0,0,0,0,5,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,2,0,0,7,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,5,0,0,0,0,0
0,0,0,0,18,2,3,0,3,0
23,3,6,0,15,6,0,0,0,0
31,0,0,6,0,10,1,0,0,0
0,0,5,0,0,0,1,0,0,0
5,0,0,0,0,15,4,7,0,0
0,2,11,3,0,0,0,0,6,0
0,0,0,15,3,0,13,0,4,0
7,0,8,0,0,1,0,0,0,0
0,13,0,0,3,6,4,1,6,0
5,0,0,14,9,0,0,3,3,0
0,5,5,0,1,6,15,5,1,0
0,0,0,0,0,4,0,6,0,0
0,4,0,5,1,8,0,11,0,0
11,10,0,7,0,0,16,11,1,26
20,1,0,8,33,14,0,13,0,0
12,14,0,3,0,0,6,0,0,18
16,13,0,18,4,11,7,2,14,7
20,12,0,6,5,0,0,13,0,0
15,10,0,5,15,12,1,0,0,0
1,7,0,7,0,0,28,8,23,0
18,9,0,6,36,13,1,42,0,0
10,16,0,28,20,13,14,10,0,10
0,0,0,1,26,26,9,13,0,19
4,30,0,26,23,13,9,4,4,8
23,0,0,29,0,21,19,16,0,17
8,14,0,19,6,26,25,8,8,21
12,2,0,12,27,0,0,31,3,7
13,3,4,32,29,22,22,47,14,3
28,22,0,28,19,32,29,9,0,12
30,16,7,25,6,8,12,0,0,21
51,32,0,23,22,20,27,0,0,37
19,16,0,28,13,19,28,17,41,6
8,15,22,19,19,26,29,17,0,6
15,45,23,6,9,3,31,23,22,18
0,9,1,23,2,42,23,21,15,8
26,0,11,34,21,1,0,17,0,40
9,31,9,34,33,19,2,17,0,29
11,33,13,37,15,27,0,20,21,40
40,29,2,21,32,23,8,16,0,36
10,47,23,12,14,35,19,21,30,33
14,3,0,17,22,17,32,36,0,16
31,30,23,39,3,32,15,14,0,37
26,21,20,36,35,22,23,27,16,28
32,36,2,34,33,23,14,35,0,39
31,35,30,34,28,35,32,29,21,24
24,15,9,54,30,29,27,2,2,48
12,7,6,25,35,27,29,14,29,21
27,32,20,34,37,26,27,32,4,45
14,28,21,25,36,30,33,39,0,44
34,14,23,37,7,19,40,4,47,16
20,41,28,19,29,45,43,26,50,42
28,42,8,20,30,31,37,43,49,46
28,32,24,20,35,37,31,42,14,42
46,32,7,32,17,40,22,33,33,50
38,36,26,28,19,45,42,31,38,35
29,41,23,41,41,53,9,29,34,43
16,39,27,28,34,47,33,32,23,48
45,25,17,36,35,57,47,22,39,38
36,45,34,32,40,41,16,38,30,35
47,17,16,42,18,55,46,46,30,22
48,34,15,42,23,37,42,47,56,35
41,36,19,23,17,36,27,52,35,61
33,34,7,57,19,30,43,32,49,45
32,28,34,25,12,31,40,36,41,53
30,45,21,46,38,54,39,38,39,29
37,52,39,37,44,48,19,24,24,40
52,40,21,26,41,45,53,55,37,34
26,17,39,51,40,42,30,46,47,55
40,37,23,39,50,49,67,46,47,45
46,55,4,36,44,49,55,28,61,48
45,54,42,40,56,48,49,53,54,42
47,49,15,25,37,55,34,34,55,58
45,46,30,39,37,45,39,38,54,42
38,59,42,49,61,59,57,48,20,21
56,70,38,55,50,58,34,54,36,33
57,67,19,40,46,46,51,52,42,59
53,54,33,46,51,56,50,46,60,53
38,56,39,17,37,50,43,37,41,25
38,42,27,56,64,61,49,32,25,60
62,39,35,43,51,56,47,52,32,48
41,41,3,62,60,37,45,38,42,42
57,57,23,49,55,72,34,65,48,55
40,41,47,52,55,58,51,55,42,40
49,62,22,55,58,56,54,44,54,59
47,45,22,48,61,66,55,43,45,48
30,28,40,46,72,69,38,70,37,52
58,53,2,62,61,62,51,52,58,56
45,55,1,69,56,60,49,62,53,55
61,50,28,49,56,42,45,59,49,45
41,44,28,58,56,47,50,59,33,53
55,61,32,54,58,62,48,43,51,55
56,52,63,56,47,60,62,36,53,51
64,55,33,58,64,51,51,59,60,63
65,62,69,66,55,70,76,53,38,47
64,51,50,57,60,50,64,47,64,74
61,62,63,59,59,47,67,70,60,57
65,62,65,51,60,67,52,69,52,66
49,57,66,66,58,42,55,52,55,55
56,63,69,70,70,53,37,73,51,58
65,52,56,52,49,60,65,62,56,63
68,69,62,67,56,41,46,55,56,68
52,55,61,65,68,54,64,51,49,53
53,51,59,48,63,45,71,57,57,61
46,64,79,51,67,43,69,67,63,70
66,59,63,53,56,59,59,62,55,63
58,66,51,51,53,70,66,69,61,59
73,68,72,50,69,52,42,63,59,75
70,49,71,64,34,41,67,64,59,51
65,64,66,57,52,62,65,68,64,63
53,69,69,61,55,63,64,58,59,64
63,61,63,66,69,68,69,68,62,68
65,57,80,60,57,57,84,49,62,70
58,71,57,72,70,64,70,68,72,52
51,65,75,71,51,66,59,62,59,53
65,51,54,73,67,61,68,50,75,65
70,69,65,58,65,66,62,53,63,64
69,69,70,75,69,66,66,67,69,61
70,49,55,57,74,63,58,70,50,63
62,67,66,66,59,59,56,72,56,69
67,63,77,64,76,54,67,68,76,73
72,67,66,69,70,69,61,69,70,66
57,67,58,65,70,72,70,64,64,71
65,78,76,70,67,80,62,67,59,68
61,63,71,63,67,59,73,76,62,77
79,71,76,60,63,77,67,76,70,69
71,60,74,73,58,79,70,73,61,66
63,63,71,75,57,72,71,80,68,80
64,71,71,67,76,77,54,63,70,73
70,63,67,79,75,77,75,71,66,55
76,80,80,60,72,76,66,65,62,67
73,70,70,73,72,66,73,78,75,68
76,78,64,70,71,63,79,73,56,73
78,75,70,67,75,78,71,66,73,71
73,79,65,62,76,73,70,66,76,75
80,70,65,71,73,68,68,81,68,78
67,70,72,72,68,75,72,61,76,65
78,76,79,78,74,73,75,73,85,74
78,81,79,71,74,72,76,70,72,73
79,70,76,76,73,83,75,76,72,73
80,72,77,73,71,70,77,74,80,77
74,70,76,81,73,74,75,69,77,76
78,62,79,80,69,69,81,69,73,77
82,75,80,75,81,80,75,84,75,80
79,56,62,74,81,79,79,74,78,77
78,77,74,78,81,78,75,66,71,83
80,81,78,75,72,84,77,70,75,79
82,84,71,66,80,79,78,80,74,76
78,78,79,72,81,75,76,83,67,76
81,65,73,79,75,81,73,70,78,80
83,80,81,77,77,73,76,76,79,81
76,75,79,80,82,75,75,82,75,72
80,66,74,78,76,75,81,78,84,80
74,82,82,81,83,83,84,81,82,78
73,78,80,83,77,83,79,78,81,87
77,80,77,84,80,80,82,85,80,74
79,84,73,81,78,82,84,83,84,85
82,73,81,82,79,82,80,79,81,82
82,84,83,78,74,81,79,76,78,77
79,71,78,81,83,78,82,78,75,83
82,77,88,80,83,76,82,79,78,81
86,83,82,76,83,82,83,81,75,76
81,85,84,78,82,80,86,73,83,74
80,76,82,84,87,83,82,85,78,83
80,77,81,83,84,82,79,81,81,84
80,82,87,87,79,83,85,81,79,80
82,88,76,85,81,85,77,76,86,90
78,85,75,79,90,76,82,82,82,80
79,82,81,85,85,84,84,83,80,82
85,77,83,83,85,76,83,85,86,85
83,87,84,83,82,74,86,84,82,86
83,83,79,89,88,89,83,85,83,79
75,80,81,84,85,89,78,78,85,81
85,87,83,85,82,85,83,86,81,87
83,88,81,90,84,87,80,88,80,82
84,84,84,86,83,84,89,85,86,85
88,81,89,84,88,83,88,86,84,86
84,87,88,89,87,84,91,87,87,84
87,90,89,90,86,84,81,88,83,86
84,86,86,87,87,84,83,87,83,86
82,82,85,84,87,82,87,88,88,86
87,82,81,87,87,87,88,85,84,87
84,86,83,85,87,88,83,87,85,88
87,85,88,84,84,85,89,87,88,89
87,84,90,87,82,86,87,87,87,88
88,83,86,87,85,89,86,86,83,85
86,86,83,85,88,82,83,87,87,90
88,85,86,87,82,84,84,89,84,85
