pretty-gorge-49,ethereal-blaze-37,visionary-jazz-36,cool-surf-35,jumping-terrain-34,dutiful-thunder-31,easy-donkey-30,glowing-energy-29,generous-donkey-28,firm-snowflake-23
2.0,8.0,5.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0
6.0,5.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,5.0
0.0,1.0,16.0,0.0,8.0,0.0,5.0,15.0,0.0,7.0
0.0,0.0,0.0,3.0,2.0,7.0,0.0,13.0,0.0,5.0
0.0,2.0,0.0,1.0,7.0,2.0,4.0,7.0,0.0,3.0
4.0,2.0,5.0,15.0,16.0,0.0,0.0,5.0,0.0,9.0
7.0,1.0,0.0,0.0,2.0,1.0,8.0,1.0,4.0,12.0
2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,11.0
5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
4.0,3.0,0.0,0.0,0.0,11.0,4.0,3.0,0.0,11.0
4.0,6.0,3.0,4.0,0.0,8.0,11.0,8.0,4.0,15.0
2.0,14.0,8.0,4.0,12.0,8.0,1.0,1.0,1.0,5.0
12.0,2.0,1.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0
15.0,0.0,2.0,0.0,14.0,6.0,8.0,11.0,0.0,2.0
5.0,0.0,7.0,0.0,10.0,7.0,9.0,0.0,4.0,4.0
0.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,10.0
0.0,2.0,7.0,2.0,6.0,0.0,3.0,3.0,7.0,5.0
0.0,4.0,8.0,14.0,15.0,11.0,16.0,11.0,8.0,9.0
4.0,3.0,1.0,15.0,9.0,4.0,4.0,5.0,0.0,2.0
3.0,6.0,5.0,9.0,13.0,0.0,5.0,0.0,5.0,10.0
6.0,3.0,7.0,8.0,2.0,2.0,0.0,8.0,17.0,17.0
1.0,0.0,0.0,12.0,5.0,18.0,4.0,11.0,10.0,2.0
12.0,25.0,19.0,5.0,6.0,3.0,11.0,11.0,17.0,0.0
7.0,1.0,5.0,0.0,8.0,13.0,3.0,4.0,0.0,8.0
16.0,13.0,9.0,4.0,30.0,2.0,7.0,3.0,10.0,8.0
6.0,18.0,7.0,20.0,14.0,10.0,16.0,17.0,18.0,9.0
22.0,10.0,11.0,2.0,5.0,23.0,10.0,19.0,10.0,19.0
5.0,8.0,18.0,3.0,0.0,0.0,14.0,20.0,9.0,8.0
12.0,8.0,2.0,17.0,18.0,22.0,22.0,15.0,0.0,16.0
6.0,16.0,0.0,13.0,10.0,2.0,20.0,2.0,10.0,0.0
11.0,19.0,0.0,25.0,12.0,12.0,17.0,11.0,19.0,25.0
0.0,12.0,16.0,13.0,18.0,8.0,11.0,15.0,3.0,6.0
13.0,1.0,0.0,12.0,6.0,2.0,10.0,19.0,23.0,26.0
4.0,24.0,24.0,16.0,10.0,11.0,10.0,10.0,13.0,8.0
19.0,13.0,31.0,13.0,5.0,8.0,16.0,12.0,15.0,6.0
18.0,29.0,21.0,0.0,6.0,18.0,9.0,14.0,19.0,6.0
15.0,20.0,10.0,24.0,1.0,13.0,27.0,32.0,19.0,19.0
30.0,45.0,16.0,6.0,22.0,7.0,5.0,3.0,10.0,21.0
14.0,8.0,9.0,8.0,30.0,15.0,14.0,1.0,12.0,14.0
22.0,9.0,12.0,19.0,20.0,24.0,23.0,14.0,6.0,7.0
22.0,6.0,1.0,1.0,24.0,20.0,18.0,38.0,18.0,21.0
6.0,11.0,16.0,20.0,9.0,7.0,22.0,1.0,9.0,3.0
13.0,28.0,28.0,24.0,12.0,15.0,17.0,9.0,26.0,19.0
4.0,5.0,23.0,4.0,4.0,26.0,21.0,29.0,29.0,20.0
13.0,22.0,24.0,22.0,12.0,15.0,18.0,14.0,29.0,16.0
16.0,22.0,26.0,10.0,18.0,14.0,26.0,18.0,5.0,12.0
13.0,13.0,12.0,14.0,3.0,5.0,23.0,25.0,2.0,13.0
5.0,11.0,12.0,8.0,40.0,8.0,25.0,25.0,17.0,11.0
0.0,10.0,13.0,29.0,9.0,0.0,21.0,29.0,24.0,16.0
16.0,39.0,17.0,15.0,16.0,33.0,11.0,14.0,18.0,18.0
26.0,47.0,10.0,21.0,17.0,21.0,20.0,22.0,33.0,9.0
7.0,21.0,18.0,16.0,36.0,14.0,20.0,25.0,19.0,16.0
41.0,18.0,22.0,15.0,9.0,14.0,46.0,22.0,30.0,24.0
26.0,34.0,14.0,13.0,23.0,23.0,8.0,28.0,20.0,15.0
19.0,37.0,29.0,40.0,15.0,28.0,19.0,45.0,35.0,18.0
12.0,20.0,31.0,14.0,13.0,27.0,10.0,45.0,18.0,15.0
21.0,22.0,18.0,22.0,10.0,11.0,27.0,31.0,25.0,19.0
19.0,24.0,4.0,28.0,14.0,15.0,30.0,12.0,34.0,12.0
16.0,21.0,32.0,10.0,31.0,32.0,13.0,33.0,24.0,23.0
16.0,35.0,38.0,40.0,29.0,20.0,36.0,24.0,41.0,15.0
26.0,31.0,36.0,21.0,24.0,36.0,18.0,14.0,31.0,22.0
13.0,18.0,26.0,13.0,24.0,28.0,6.0,29.0,26.0,32.0
32.0,55.0,12.0,18.0,32.0,25.0,9.0,18.0,22.0,31.0
26.0,15.0,11.0,24.0,15.0,32.0,19.0,43.0,14.0,32.0
24.0,26.0,27.0,27.0,20.0,28.0,42.0,28.0,20.0,47.0
23.0,19.0,38.0,30.0,30.0,34.0,24.0,34.0,26.0,28.0
23.0,43.0,27.0,40.0,20.0,25.0,46.0,30.0,34.0,26.0
33.0,37.0,14.0,28.0,34.0,38.0,20.0,42.0,13.0,13.0
39.0,24.0,45.0,38.0,31.0,47.0,35.0,35.0,26.0,45.0
39.0,25.0,42.0,33.0,17.0,33.0,37.0,56.0,19.0,30.0
39.0,41.0,5.0,19.0,37.0,22.0,42.0,50.0,51.0,21.0
40.0,34.0,31.0,20.0,40.0,33.0,26.0,32.0,38.0,17.0
23.0,9.0,19.0,23.0,27.0,37.0,36.0,28.0,23.0,27.0
35.0,25.0,39.0,46.0,15.0,27.0,25.0,40.0,40.0,21.0
31.0,53.0,36.0,37.0,53.0,29.0,14.0,26.0,14.0,30.0
35.0,54.0,42.0,23.0,49.0,41.0,31.0,38.0,32.0,40.0
23.0,40.0,26.0,40.0,43.0,25.0,30.0,19.0,25.0,34.0
23.0,25.0,35.0,34.0,27.0,44.0,38.0,20.0,38.0,51.0
29.0,45.0,45.0,23.0,39.0,44.0,45.0,44.0,31.0,29.0
7.0,28.0,24.0,24.0,53.0,34.0,43.0,40.0,26.0,24.0
35.0,29.0,30.0,21.0,40.0,22.0,34.0,16.0,45.0,30.0
46.0,44.0,42.0,32.0,47.0,39.0,31.0,48.0,32.0,35.0
38.0,30.0,43.0,46.0,46.0,32.0,40.0,25.0,41.0,60.0
25.0,31.0,11.0,40.0,46.0,32.0,49.0,24.0,35.0,31.0
56.0,44.0,23.0,47.0,53.0,48.0,20.0,41.0,47.0,33.0
34.0,51.0,34.0,52.0,34.0,29.0,25.0,51.0,36.0,41.0
38.0,55.0,31.0,45.0,35.0,33.0,35.0,52.0,25.0,31.0
5.0,50.0,26.0,44.0,22.0,16.0,31.0,54.0,44.0,20.0
33.0,36.0,28.0,46.0,45.0,37.0,28.0,44.0,45.0,23.0
38.0,44.0,41.0,21.0,27.0,35.0,29.0,35.0,37.0,25.0
55.0,40.0,53.0,48.0,47.0,47.0,32.0,46.0,42.0,45.0
39.0,55.0,44.0,45.0,61.0,38.0,36.0,20.0,63.0,31.0
29.0,34.0,45.0,28.0,40.0,55.0,35.0,55.0,52.0,25.0
26.0,46.0,24.0,38.0,36.0,23.0,38.0,31.0,40.0,46.0
27.0,36.0,27.0,38.0,58.0,43.0,66.0,37.0,52.0,43.0
53.0,46.0,42.0,40.0,46.0,33.0,48.0,44.0,28.0,54.0
50.0,58.0,56.0,64.0,44.0,49.0,34.0,45.0,43.0,49.0
39.0,26.0,24.0,57.0,49.0,40.0,43.0,40.0,49.0,38.0
58.0,60.0,33.0,58.0,63.0,39.0,33.0,42.0,57.0,33.0
28.0,37.0,34.0,45.0,35.0,48.0,41.0,45.0,39.0,30.0
62.0,53.0,43.0,38.0,38.0,40.0,47.0,40.0,39.0,30.0
36.0,32.0,40.0,41.0,48.0,52.0,36.0,38.0,35.0,39.0
43.0,62.0,54.0,53.0,32.0,32.0,60.0,40.0,31.0,58.0
42.0,48.0,60.0,65.0,45.0,41.0,72.0,48.0,42.0,50.0
47.0,64.0,54.0,41.0,42.0,37.0,62.0,61.0,43.0,44.0
59.0,50.0,62.0,49.0,67.0,59.0,58.0,45.0,50.0,58.0
26.0,42.0,51.0,56.0,40.0,36.0,56.0,51.0,41.0,52.0
60.0,47.0,42.0,43.0,52.0,29.0,60.0,53.0,45.0,41.0
34.0,48.0,63.0,49.0,42.0,43.0,39.0,48.0,40.0,42.0
62.0,65.0,31.0,47.0,55.0,43.0,55.0,54.0,43.0,40.0
60.0,54.0,48.0,69.0,54.0,54.0,49.0,51.0,58.0,57.0
50.0,47.0,67.0,39.0,54.0,47.0,70.0,59.0,53.0,47.0
59.0,60.0,62.0,72.0,73.0,68.0,65.0,52.0,52.0,54.0
60.0,52.0,53.0,47.0,42.0,46.0,47.0,54.0,48.0,38.0
39.0,59.0,53.0,47.0,59.0,47.0,49.0,58.0,45.0,43.0
56.0,52.0,62.0,60.0,53.0,61.0,58.0,62.0,59.0,55.0
37.0,45.0,43.0,40.0,41.0,44.0,42.0,39.0,48.0,49.0
43.0,54.0,52.0,47.0,55.0,56.0,61.0,51.0,50.0,47.0
56.0,65.0,53.0,59.0,48.0,50.0,49.0,49.0,54.0,54.0
