revived-donkey-71,dandy-paper-70,sleek-music-69,fresh-smoke-68,blooming-blaze-67,legendary-voice-66,neat-galaxy-65,copper-forest-64,good-jazz-63,leafy-flower-62
0,11,0,6,0,0,0,3,0,7
0,9,3,14,0,0,0,8,2,0
7,0,8,3,0,8,0,6,3,0
0,0,5,0,2,0,2,0,0,0
10,6,0,9,2,13,7,5,3,2
3,7,2,2,0,2,8,9,0,5
3,2,3,11,9,0,7,0,12,2
1,7,0,9,5,1,0,0,4,7
0,0,7,10,0,5,0,0,0,2
0,0,1,0,6,6,2,16,0,0
6,12,0,7,7,1,1,0,8,2
2,1,0,4,0,0,0,11,0,0
3,0,0,7,3,5,7,6,5,5
1,1,2,5,1,3,0,0,3,10
0,3,3,0,0,0,1,5,1,23
10,3,2,1,4,0,12,8,5,5
0,2,3,9,3,12,7,0,0,5
1,8,3,17,0,5,1,3,8,0
9,5,7,1,3,0,4,5,5,13
0,7,13,3,7,2,4,0,13,4
2,3,0,0,3,7,3,0,0,1
3,0,4,10,2,0,3,3,0,4
4,2,3,6,4,1,5,0,0,6
9,8,0,7,7,4,15,1,4,0
7,4,9,13,5,0,11,7,7,7
2,6,0,6,0,9,8,5,0,11
11,8,6,1,2,6,8,6,18,3
6,0,9,2,4,11,10,6,12,7
6,3,5,10,10,7,11,1,2,8
17,3,2,9,1,4,0,1,7,9
8,3,12,8,7,10,1,12,4,10
3,13,1,5,4,24,1,20,20,24
1,9,17,7,16,10,5,11,0,17
10,0,6,1,6,8,6,0,1,8
9,14,4,8,18,7,14,10,14,0
0,5,16,11,8,2,0,13,3,12
9,2,6,6,2,7,10,4,2,8
17,6,2,15,6,3,22,19,3,10
20,0,18,10,4,4,12,16,1,6
14,11,5,6,8,7,1,7,5,7
5,1,6,3,3,9,10,8,4,22
5,9,5,11,9,9,6,21,8,1
10,6,6,0,9,7,6,2,13,13
12,8,13,12,6,4,8,12,2,6
23,9,1,9,0,10,8,0,5,5
2,12,5,9,10,12,7,7,5,8
8,3,11,11,1,19,21,9,5,4
3,7,9,12,10,9,10,8,7,8
9,9,2,1,2,0,9,0,3,6
8,12,8,17,12,3,9,6,0,1
10,9,2,13,3,10,9,8,13,7
10,5,12,4,2,0,0,5,6,3
14,19,6,6,16,8,10,6,3,3
6,4,6,9,17,3,10,4,2,13
11,5,4,6,9,4,9,4,6,5
20,11,11,6,10,12,8,8,0,11
8,10,3,1,3,9,3,4,1,18
13,0,12,14,3,5,8,7,3,10
20,3,2,11,5,2,0,0,13,20
13,10,10,7,14,7,15,1,9,6
6,3,10,7,9,14,17,9,11,6
9,19,8,13,14,4,3,2,4,15
21,9,6,9,12,11,9,4,3,5
8,11,9,17,12,6,4,10,1,10
11,8,8,7,2,7,2,10,0,17
20,10,6,25,10,4,7,3,3,12
10,17,18,8,13,13,4,10,20,5
14,4,7,17,4,11,14,7,12,20
16,8,8,10,6,3,19,5,3,2
7,5,11,11,13,12,12,3,2,18
16,1,8,12,6,5,14,5,4,26
22,5,16,4,11,7,8,6,6,13
17,7,10,6,4,9,11,9,1,10
10,10,12,24,4,7,7,0,2,16
