star-master-20,rebel-speeder-19,grievous-nerf-herder-18,stellar-cruiser-17,stellar-cruiser-16,stellar-jawa-15,light-nerf-herder-8,hokey-lightsaber-5,mythical-podracer-3,jedi-master-2
0,0,6,4,10,12,0,0,0,0
5,0,0,0,0,0,13,0,1,1
15,2,8,21,3,10,3,0,5,6
12,0,0,0,2,1,0,0,0,0
12,0,0,2,5,3,5,1,7,0
1,0,4,4,14,1,0,0,18,3
2,0,0,0,6,5,12,10,1,6
6,0,3,12,9,11,0,4,0,0
5,11,0,0,1,0,0,5,0,7
0,1,12,4,7,3,9,0,2,0
5,4,10,7,1,1,1,23,5,3
0,13,0,6,6,3,7,0,2,2
0,8,8,2,6,2,0,3,5,1
18,4,0,4,13,0,4,0,1,3
0,2,4,3,0,4,4,10,7,1
1,5,10,5,1,5,2,3,7,2
0,0,10,6,11,0,0,11,8,2
0,6,11,5,6,4,9,6,4,4
11,11,3,2,18,15,15,6,13,4
2,0,0,3,0,4,5,0,2,11
8,9,25,14,5,4,7,0,3,13
8,8,0,1,18,4,17,0,12,0
10,10,6,9,1,3,2,8,13,13
3,0,0,14,7,4,12,5,11,16
5,0,11,9,14,8,1,13,0,9
15,6,10,3,12,6,0,4,4,18
3,9,5,8,11,8,8,3,17,6
15,5,21,19,14,9,17,1,12,3
13,5,11,11,18,2,8,3,7,3
9,6,8,7,2,4,17,8,15,15
5,16,5,0,6,6,13,11,7,7
11,2,21,11,7,19,8,13,7,19
12,20,6,4,2,1,6,17,2,16
13,3,0,3,21,5,8,1,4,6
7,21,2,16,5,1,6,12,21,27
3,5,1,4,8,9,8,8,0,4
12,1,16,2,10,15,15,13,5,1
3,12,4,27,16,11,5,13,4,0
25,2,11,28,11,12,13,4,5,18
2,13,15,8,5,25,7,5,14,10
13,7,5,20,21,19,10,10,10,17
23,3,14,31,3,6,0,10,14,14
9,16,2,8,12,1,3,6,5,9
5,17,0,17,1,9,4,7,14,28
11,21,14,7,3,10,6,14,11,9
1,11,20,7,13,6,4,4,10,18
4,10,15,2,13,12,5,9,0,9
7,19,12,6,16,6,16,16,23,12
5,0,8,4,11,15,15,13,5,18
10,9,15,10,6,9,4,5,12,20
26,8,4,10,8,24,11,12,8,13
6,8,19,15,6,11,1,15,6,12
13,10,21,2,10,19,19,12,16,8
15,5,7,9,17,13,30,20,9,10
8,2,16,13,10,11,7,15,5,23
17,26,13,12,15,22,16,14,14,8
16,27,8,4,10,16,11,9,11,11
16,3,5,14,11,17,9,15,10,9
21,16,10,5,16,8,10,6,11,21
26,21,7,13,23,11,12,8,14,7
10,9,8,37,11,12,18,12,19,14
25,13,21,10,11,18,12,9,12,15
10,31,20,25,13,23,6,7,26,10
23,17,16,10,10,8,10,21,8,6
5,19,16,10,19,12,14,14,11,15
17,26,12,38,21,11,20,25,18,19
10,10,8,11,10,11,22,5,12,22
9,16,14,10,24,11,31,17,2,20
18,19,12,5,21,7,27,5,27,5
17,7,16,24,28,21,17,14,22,23
15,36,13,16,18,18,7,24,11,4
11,16,22,15,27,21,18,13,7,22
11,30,16,12,23,19,10,4,7,16
7,11,13,10,14,14,6,6,10,8
8,11,20,13,30,17,18,20,17,16
6,10,26,22,9,9,9,19,14,14
12,10,1,15,9,22,25,18,15,5
4,18,14,12,21,8,24,19,18,12
12,14,19,20,11,26,21,15,14,18
23,25,6,12,19,23,14,20,19,24
19,20,10,10,16,17,9,9,13,22
11,12,13,15,10,10,6,9,8,9
26,21,19,18,15,24,20,21,12,25
22,24,18,25,10,18,24,15,20,8
16,9,12,13,11,27,7,9,12,8
8,28,6,17,15,5,19,30,20,21
24,22,13,25,10,7,14,12,8,12
15,8,20,18,17,14,19,14,18,13
24,34,12,15,12,17,7,5,8,11
15,22,6,19,17,9,14,9,8,18
10,24,15,12,17,31,18,13,6,18
13,26,22,30,14,24,26,19,21,17
15,4,16,3,20,11,16,9,7,30
11,27,3,19,21,28,26,17,25,29
27,9,12,10,8,15,12,14,4,20
22,6,15,12,19,23,7,12,13,19
11,10,19,18,11,22,15,12,16,11
9,13,19,19,14,21,13,12,34,13
20,19,9,7,8,14,18,5,8,16
6,13,8,26,15,15,32,25,14,28
20,31,9,11,11,13,11,8,7,6
21,11,16,18,20,14,21,15,6,16
12,14,17,7,22,14,12,20,16,25
7,21,25,18,24,18,29,25,29,23
10,30,21,25,22,24,28,25,15,22
15,15,18,28,23,21,7,10,10,22
18,39,8,28,35,12,20,19,11,24
22,16,7,14,17,24,7,17,10,12
19,23,18,20,24,14,12,15,14,16
16,19,17,26,9,11,5,20,9,22
25,12,21,20,12,20,18,19,15,16
17,28,14,30,14,21,27,25,16,5
22,11,30,15,12,5,14,16,14,20
20,27,8,37,14,31,12,20,38,23
19,35,15,4,14,19,9,13,20,14
13,13,10,25,12,33,26,18,19,31
19,10,16,18,22,18,17,22,24,34
10,18,10,4,16,6,10,23,16,9
25,20,16,16,13,18,19,19,21,7
21,29,26,28,11,18,12,22,23,16
20,21,15,20,14,20,19,27,10,25
27,9,18,14,12,17,10,24,13,12
