imperial-ewok-14,light-ewok-13,rebel-tie-fighter-12,holographic-transport-11,old-rancor-10,star-lightsaber-9,carbonite-destroyer-7,rogue-cruiser-6,scruffy-looking-fleet-4,stellar-fighter-1
11,2,0,0,0,1,0,0,0,0
4,0,0,6,9,4,23,0,4,8
0,0,18,1,7,2,0,5,4,0
0,0,12,0,0,0,0,0,0,0
3,5,9,5,7,8,6,2,12,2
0,5,2,1,3,2,19,5,9,2
5,6,2,16,1,0,15,2,3,5
0,0,0,0,15,8,2,1,4,6
0,1,0,11,0,0,0,0,0,9
0,1,2,10,0,10,2,0,0,8
0,0,2,12,15,2,10,8,7,7
5,6,0,1,4,7,9,8,6,2
14,0,3,5,6,11,7,8,4,2
2,6,2,12,10,19,2,12,0,0
1,0,4,16,22,6,2,26,4,0
8,1,1,0,6,5,9,11,0,6
0,0,3,0,9,14,10,16,9,1
6,9,11,3,4,12,11,5,2,2
0,2,16,10,11,8,11,9,0,0
0,0,0,0,12,12,10,1,1,6
8,0,0,12,0,11,7,12,0,6
1,11,10,0,1,2,8,0,6,5
2,3,1,24,12,11,0,0,0,10
19,3,1,0,20,1,0,0,0,16
3,11,6,4,12,7,11,10,7,19
18,17,3,38,10,4,14,14,13,0
11,5,27,7,12,6,5,3,41,12
18,15,0,11,19,6,8,13,10,10
26,1,7,8,23,8,20,9,25,8
12,5,2,12,1,0,21,15,3,6
12,3,2,6,3,8,0,10,12,15
19,14,5,11,17,11,21,19,24,14
6,13,5,13,6,9,20,11,13,5
13,20,3,16,19,17,9,34,3,9
30,14,14,34,29,10,4,7,25,14
8,0,6,9,17,14,5,29,15,7
35,18,6,15,16,6,9,16,6,11
16,15,22,24,21,22,12,23,31,13
14,25,19,6,10,1,1,28,15,31
24,3,3,11,14,6,18,8,24,19
5,14,16,20,31,23,8,13,13,38
11,5,5,37,13,12,6,19,18,4
1,16,19,25,18,8,6,0,21,16
16,12,20,16,16,20,28,12,18,15
13,21,3,22,23,10,29,12,4,2
3,2,30,10,5,26,20,21,5,21
12,7,20,16,21,32,23,16,4,20
37,0,11,9,13,16,2,5,1,8
2,15,29,16,10,17,1,2,20,11
12,5,37,16,12,14,25,5,37,31
12,27,8,37,31,17,12,21,16,22
20,16,14,27,11,13,4,14,9,9
27,7,22,13,13,10,20,16,31,35
14,33,43,23,19,20,11,44,12,17
21,17,18,30,43,21,29,17,13,36
18,31,31,15,21,19,38,28,31,26
38,13,8,9,13,29,0,30,27,12
22,23,25,9,27,7,21,3,13,34
17,21,25,24,8,18,19,3,15,26
19,15,26,20,17,21,19,8,23,31
38,40,23,38,33,17,31,12,21,35
39,26,20,35,12,10,35,27,19,40
24,24,26,45,31,27,12,20,37,5
10,25,33,27,24,18,29,19,24,20
52,31,24,17,39,21,15,18,36,36
37,12,34,42,45,16,27,36,11,28
