floral-haze-96,vibrant-disco-94,denim-cherry-92,major-shadow-90,kind-bush-88,lively-terrain-86,apricot-grass-84,pleasant-donkey-82,chocolate-cosmos-80,proud-dust-78
0,0,0,7,2,0,0,14,4,0
0,0,-4,2,-1,0,1,0,8,-5
-2,12,5,13,-5,-7,1,-5,3,-12
0,0,0,0,0,0,0,0,0,0
0,0,2,0,-5,0,0,0,7,3
3,-2,0,0,3,5,4,0,2,2
-1,-5,1,0,0,12,0,3,0,-4
0,0,0,0,0,0,10,0,0,2
4,0,0,2,1,0,0,0,0,2
0,0,1,0,0,1,0,0,0,-4
1,-1,0,0,0,3,3,0,2,0
0,0,0,2,0,7,0,7,4,0
0,0,0,-13,0,11,-4,0,0,5
0,0,1,-1,7,0,8,14,3,0
1,0,1,4,6,0,-2,8,6,0
-1,0,0,0,5,4,0,0,0,0
6,0,-6,0,0,0,0,0,0,0
5,0,3,-5,-3,3,4,6,5,0
0,1,0,0,3,-1,-6,15,14,0
0,-2,0,-2,4,0,5,0,0,0
0,4,0,-6,0,16,0,0,9,0
0,0,4,0,0,-1,0,0,0,0
-8,2,1,0,0,1,0,0,4,1
5,0,-11,0,-8,-3,5,6,-4,3
-5,4,3,0,0,-4,0,-1,-2,-8
0,-11,14,0,9,-2,0,15,5,2
5,7,-3,0,-5,6,0,-6,10,2
-3,0,-1,-11,1,8,0,3,0,0
4,1,-1,4,0,0,5,2,3,6
0,3,11,0,2,-9,4,1,0,0
0,-1,-2,0,-6,0,0,3,8,0
16,1,-9,3,0,-6,-1,-3,6,9
5,0,-4,0,0,0,0,6,0,2
4,9,4,0,0,0,0,1,9,0
0,0,0,0,0,0,0,12,0,10
0,0,4,0,3,-6,8,2,0,0
0,0,4,-3,5,5,0,11,2,2
-6,-1,7,0,-9,6,-12,10,9,0
1,2,2,0,0,7,2,-3,12,0
-5,1,4,-4,10,-2,0,12,-3,0
0,2,9,0,3,0,0,-1,0,0
3,0,19,0,8,1,12,9,0,0
0,0,5,0,1,-3,5,2,10,4
2,3,-2,0,-2,0,5,5,6,0
0,0,-1,2,-1,-2,-2,7,6,6
-5,0,-4,4,0,0,0,13,4,0
0,0,7,0,3,0,0,2,8,0
0,-4,5,0,14,0,0,-6,6,2
-6,0,0,0,2,1,0,11,5,0
0,0,-6,5,17,0,0,-3,9,0
5,5,10,0,4,0,0,-7,11,3
-10,0,10,1,14,1,1,14,7,7
2,0,6,1,1,0,1,0,19,0
0,4,-3,0,9,-2,4,2,4,3
