lyric-plant-95,golden-cosmos-93,crisp-microwave-91,glamorous-oath-89,smart-water-87,curious-universe-85,zany-leaf-83,sandy-surf-81,vocal-paper-79,azure-rain-77
18,0,3,0,-1,0,5,0,0,2
1,3,0,0,4,2,0,0,-1,0
1,0,0,-4,0,-5,8,6,2,-6
-3,0,0,-2,0,0,0,0,0,0
0,3,4,7,-14,0,0,0,7,-1
7,0,0,0,0,3,5,0,7,0
4,2,5,0,-2,3,0,0,-5,0
0,6,5,1,0,10,0,0,0,0
0,-4,0,0,1,5,0,0,-11,0
0,2,0,0,2,-4,0,0,17,-11
1,1,-1,1,0,0,0,-10,0,6
0,0,3,0,-1,0,5,8,0,0
-1,-1,-2,0,0,-6,1,-1,0,0
0,-1,0,5,-1,0,0,-6,1,0
0,-10,-12,0,0,7,0,0,4,0
8,0,-1,-2,0,-9,0,0,0,0
-1,1,4,0,-2,-8,0,0,0,8
1,0,0,8,0,13,0,0,4,0
-1,0,13,-2,0,-10,0,0,0,0
0,7,0,2,16,12,4,0,0,1
11,0,1,0,0,6,0,1,9,7
4,-1,0,2,0,1,3,8,0,4
8,0,0,7,9,3,0,-9,-3,3
0,-5,4,7,4,0,3,-7,7,3
0,-3,0,13,0,-2,1,4,3,2
6,-2,6,4,5,5,1,5,-13,0
4,3,0,13,3,15,7,1,5,2
3,-3,0,4,0,-14,0,-6,0,0
-1,8,0,-2,1,-5,-1,1,2,0
9,0,16,4,18,4,7,4,3,1
-3,5,0,0,-6,7,27,12,2,-5
9,1,11,5,3,11,-4,5,8,7
1,0,18,11,11,0,13,3,10,1
1,13,0,15,1,13,0,-7,9,0
16,13,5,0,17,-3,7,-1,25,-8
1,0,7,3,14,21,12,0,0,11
0,15,6,7,1,0,0,8,16,0
15,-1,0,18,2,-3,0,3,26,7
13,8,0,4,7,6,9,0,2,1
14,1,4,13,3,-6,4,6,2,6
17,-5,6,12,23,-1,13,3,5,18
11,5,12,9,14,-16,4,0,10,15
4,7,1,7,20,11,1,16,9,4
4,4,7,14,4,16,0,8,10,0
13,21,17,0,2,23,8,16,11,15
17,6,4,13,10,0,12,18,0,21
7,26,6,8,1,11,11,4,5,17
9,8,12,6,14,20,10,9,14,18
16,11,10,17,20,18,2,11,6,12
14,16,2,0,20,17,4,12,9,3
11,11,10,10,6,12,19,13,5,1
11,15,4,-6,0,2,13,13,2,8
10,16,12,21,17,10,5,17,21,14
20,17,22,25,14,2,11,8,13,2
9,4,12,9,22,-2,21,9,18,12
28,12,18,20,2,-1,12,22,16,13
24,13,13,0,14,0,10,18,13,18
2,5,19,20,11,3,17,12,23,11
13,11,19,11,12,11,6,13,39,16
10,10,21,15,7,25,6,11,30,13
26,7,24,6,16,16,3,14,21,6
4,7,6,30,30,-1,6,15,21,11
10,9,13,13,24,-2,7,12,21,8
22,4,27,11,11,-8,13,18,17,25
18,17,20,0,16,15,4,6,13,19
23,0,10,6,13,-7,23,11,16,6
8,27,18,1,21,-3,12,8,16,24
25,18,13,18,9,8,1,17,26,18
0,28,4,22,25,-8,12,26,4,9
17,16,34,1,9,13,18,21,13,21
17,0,32,22,7,8,19,18,15,19
19,12,14,18,6,23,10,14,6,6
10,1,19,31,23,-3,22,17,4,26
22,22,16,2,27,25,9,9,13,26
31,24,10,21,20,-1,9,12,9,27
