elegant-lightsaber-40,ancient-nerf-herder-38,holographic-fighter-36,tusken-nerf-herder-26,mythical-bantha-24,light-emperor-22,hokey-transport-21,holographic-senate-18,holographic-tauntaun-17,old-nexu-15
10,-2,7,10,0,-4,0,0,0,0
7,-2,0,0,0,2,0,0,1,0
1,5,-2,-9,0,-4,1,0,2,3
0,0,1,-1,0,0,0,0,4,0
0,-4,-5,10,10,4,1,0,1,0
0,-1,12,0,0,0,0,-7,1,3
0,-4,-1,3,0,0,0,0,0,2
0,0,6,0,0,0,0,6,0,1
1,-2,0,0,0,-8,0,1,-4,0
1,-1,-5,0,0,3,2,0,-1,0
0,0,-1,0,3,2,0,0,-1,0
-2,0,-1,0,-4,3,0,0,-1,0
0,7,-2,-10,1,0,1,9,0,8
0,8,0,6,0,15,9,0,2,0
-3,-2,2,0,0,-2,20,3,0,0
1,0,0,0,-4,4,0,1,0,0
0,0,1,-9,0,0,1,0,0,0
0,4,-4,0,-2,0,1,3,0,0
-2,0,-2,-1,0,0,0,-9,-6,-3
4,0,0,0,4,0,3,0,2,0
0,-8,5,0,4,0,-3,0,4,0
7,0,0,6,0,-2,0,3,0,0
-3,8,4,0,2,0,0,0,0,0
1,0,2,0,-14,1,0,-6,0,-9
0,1,0,0,1,0,0,-5,0,0
0,20,0,0,13,0,0,3,0,0
0,0,-5,3,0,0,10,0,6,1
3,0,11,0,0,-1,0,4,-4,12
5,0,0,0,0,3,-7,0,0,6
3,0,0,7,0,0,-3,0,3,0
0,0,1,0,3,0,0,-1,1,0
7,2,3,-1,0,11,0,14,0,0
0,0,0,2,2,0,0,1,0,-5
9,0,2,0,1,9,0,0,0,0
0,2,-9,0,0,0,0,0,0,0
-3,0,0,4,0,2,-7,0,-2,0
0,0,0,2,16,0,0,0,0,0
0,0,0,0,5,2,5,-3,-1,0
0,0,-1,1,0,0,0,2,0,1
0,0,0,0,-3,4,12,16,0,1
2,0,4,3,-1,2,4,-7,0,0
1,2,2,0,-3,0,8,0,-2,6
0,3,0,0,0,3,1,2,11,6
1,8,0,0,-1,1,0,1,6,0
0,0,0,13,0,0,-13,3,2,0
0,0,0,4,0,0,0,0,0,0
0,3,2,7,0,0,0,2,1,5
1,0,0,0,5,1,0,5,3,0
4,0,0,0,2,0,3,0,1,4
0,0,0,0,0,10,0,9,-2,0
0,2,7,7,11,1,0,0,1,1
0,0,11,2,1,7,0,0,-12,3
0,0,14,1,1,1,0,4,1,4
0,0,0,4,7,11,16,0,0,0
-8,10,21,3,1,3,2,9,-3,0
0,5,1,-2,5,7,14,0,4,0
0,0,4,0,3,0,4,0,6,0
1,4,-1,9,2,6,0,2,-1,0
3,13,0,-3,1,1,4,4,1,1
0,0,1,0,2,8,-4,1,0,11
3,13,5,7,0,-2,-4,8,0,0
0,8,0,18,4,7,1,-3,0,1
8,0,4,1,8,16,1,5,14,8
1,0,2,8,2,3,0,3,5,-2
0,2,10,2,4,1,0,16,0,0
-1,0,9,4,0,8,6,-3,-1,0
12,1,12,0,0,7,4,4,0,5
9,7,3,12,3,8,11,6,0,0
3,2,14,5,10,8,11,10,-1,1
0,0,7,2,7,12,0,16,-4,1
1,4,-1,8,5,12,3,1,3,0
0,2,11,5,1,4,7,-3,4,6
0,1,12,6,0,10,3,0,0,1
5,3,10,2,0,17,3,9,0,2
0,0,8,1,3,6,6,16,0,0
2,2,3,5,2,10,1,-2,0,2
0,-3,12,6,3,3,-1,4,-3,2
2,0,3,7,4,0,8,4,0,5
2,0,7,6,-2,7,0,9,0,9
3,-1,6,4,-1,5,4,13,-2,5
0,0,-1,4,12,10,0,1,-7,3
2,-3,11,3,5,-2,0,14,0,1
4,0,5,7,8,8,0,0,-7,0
7,1,12,6,2,11,3,17,0,8
1,2,2,5,11,11,0,5,-2,3
3,0,11,15,18,8,3,13,4,5
5,0,15,4,0,9,0,4,3,2
1,3,6,14,2,3,1,15,9,11
12,0,6,10,8,9,0,7,2,12
0,0,4,0,5,11,15,5,0,1
9,6,2,9,6,7,0,22,13,2
1,0,2,4,5,8,2,2,5,2
1,4,8,12,-2,13,0,14,11,6
0,2,8,13,6,6,0,14,0,15
15,2,14,6,8,6,24,16,4,6
1,2,14,9,8,3,-2,8,14,3
6,9,7,-2,2,11,0,9,11,1
6,5,5,8,7,10,-1,5,1,7
5,4,5,8,4,5,3,11,8,6
7,1,5,7,0,6,1,1,3,5
1,6,3,1,7,5,0,8,17,6
12,3,16,6,2,4,3,8,12,3
1,1,10,9,5,6,4,6,5,5
3,-1,13,5,5,2,8,9,4,13
7,4,4,24,4,8,13,10,24,7
0,5,9,5,10,6,8,12,2,0
13,17,2,20,2,5,4,9,4,1
3,1,15,12,8,8,8,14,2,6
1,3,10,9,2,9,9,15,9,10
4,9,5,3,8,5,5,18,15,2
2,2,10,16,8,9,5,8,15,4
5,5,3,7,10,4,7,5,8,2
0,15,15,6,2,4,3,10,15,5
1,4,9,18,9,17,6,6,24,1
1,5,2,11,16,4,9,10,14,14
11,3,9,16,6,5,0,13,6,6
-3,5,7,18,9,9,7,11,10,0
4,5,5,9,4,0,4,2,9,9
1,0,13,-6,5,18,0,7,21,-1
10,13,21,2,10,20,0,14,8,0
7,0,15,13,2,6,8,4,14,2
10,2,4,12,4,12,12,21,4,6
11,10,1,18,3,25,0,8,6,5
14,7,4,24,6,16,4,12,14,-3
8,4,14,17,0,15,5,8,25,7
8,6,11,7,9,24,3,15,6,1
15,8,12,19,9,18,0,24,20,10
3,5,2,33,4,28,2,13,8,5
1,4,9,11,9,21,5,25,12,4
3,1,14,30,12,20,-3,14,11,3
2,6,21,20,1,20,8,16,7,3
9,10,6,9,4,26,3,23,13,5
0,3,18,0,6,24,3,4,0,3
10,10,15,11,1,24,1,21,-2,16
12,-3,6,20,5,16,1,8,11,3
7,4,21,28,7,10,6,25,9,11
8,14,8,6,5,8,8,25,6,6
8,3,21,13,5,15,3,-2,0,-1
8,2,21,3,14,7,6,16,3,12
28,3,11,8,3,28,5,18,7,3
1,7,31,12,4,23,5,30,30,14
12,9,0,22,8,4,4,9,11,17
5,3,17,11,6,27,2,10,17,20
6,11,3,21,1,31,1,20,16,9
7,3,14,6,2,29,4,8,7,22
12,14,3,30,4,26,1,10,6,19
12,21,21,19,17,24,-1,33,20,20
7,13,22,19,4,28,2,13,11,25
18,2,25,20,4,24,5,20,27,27
9,18,17,15,8,25,5,7,36,20
11,17,8,21,3,16,10,27,32,25
22,10,18,21,3,27,3,22,31,27
8,8,11,16,1,23,2,36,17,32
12,25,7,27,14,36,1,9,21,23
21,29,20,6,16,38,5,20,22,33
7,24,23,18,2,18,2,30,26,27
7,26,23,37,4,33,9,38,37,31
13,5,32,42,3,24,7,19,34,33
26,8,16,32,18,29,1,15,37,32
